method,n,mean_bias,rmse
Adaptive Lasso,36,-0.4189910435136984,0.4827506747627079
Adaptive Lasso,72,-0.4133444213927493,0.45904984568885343
Clustered SE,36,-0.11834170975004042,0.14063411436554224
Clustered SE,72,-0.12187414324808533,0.1308941957354213
Deming,36,-0.10911499201785974,0.15698164009829946
Deming,72,-0.12932539753063904,0.146917349117493
Elastic Net,36,-0.2575227187828605,0.25861327406542767
Elastic Net,72,-0.2501673176713668,0.250368429256569
Ensemble,36,-0.15552394711622575,0.16623412956524752
Ensemble,72,-0.11640093417004357,0.1292034622254781
Huber,36,-0.11677792928617992,0.14194644097512255
Huber,72,-0.12357872733019876,0.13260829238316224
LMM (Random Intercept),36,-0.11834170975004045,0.1406341143655423
LMM (Random Intercept),72,-0.12187414324808546,0.13089419573542138
LMM (Random Slope),36,-0.11834170975004045,0.1406341143655423
LMM (Random Slope),72,-0.12187414324808546,0.13089419573542138
Lasso,36,-0.2588103323767748,0.25986515728985526
Lasso,72,-0.2514181542597236,0.25160841955099994
Median,36,-0.12150821931185368,0.14135176233470081
Median,72,-0.12167728471171729,0.12976448112436043
ODR,36,0.07675199010477989,0.12033306469690154
ODR,72,0.07197444830052992,0.09675159920539296
OLS,36,-0.11834170975004042,0.14063411436554224
OLS,72,-0.12187414324808533,0.1308941957354213
Passing-Bablok,36,-0.11133923290517367,0.13716545815834696
Passing-Bablok,72,-0.11637552163086223,0.1259572829552707
Quantile,36,-0.11486964857970228,0.15039453132963382
Quantile,72,-0.12338032459004644,0.13613292264801163
RMA,36,0.07486395116493864,0.12268022432005726
RMA,72,0.0722882902348792,0.11097131312428431
Ridge,36,-0.2691127558260512,0.26992626836336453
Ridge,72,-0.25180968639315204,0.2520070865586727
SMA,36,0.07486395116493864,0.12268022432005726
SMA,72,0.0722882902348792,0.11097131312428431
SMA (Major Axis),36,0.07301376789228002,0.1253151320941755
SMA (Major Axis),72,0.07086795372048531,0.10798472304338314
SVM Linear,36,-0.2106315280881687,0.28105358675733183
SVM Linear,72,-0.2083247137689039,0.2713261369837407
SVM RBF,36,-0.4293264461800069,0.429510198191341
SVM RBF,72,-0.3798672341788228,0.37999032202548483
Theil-Sen,36,-0.10668097744349157,0.13572335102988797
Theil-Sen,72,-0.11315146249292601,0.12382873694531768
Trimmed Mean,36,-0.12814605264929277,0.14536248650673225
Trimmed Mean,72,-0.11333681004992771,0.12694437082247026
