method,avg_rmse,rank
deming_mcr,0.26258897786326196,1
ensemble,0.2637460006543363,2
xgboost,0.26666666666666666,3
ols,0.278086534387065,4
theilsen,0.28570976762422723,5
siegel,0.28776506727546236,6
rma,0.3145034869262302,7
nlme,0.3994011484900676,8
keras_denoised,0.4668739895505927,9
majoraxis,0.4711614776442378,10
lmer_slopes,0.5040097111651944,11
lmer,0.5084818717801233,12
glmnet,0.5287795609802723,13
keras,0.7107081237518418,14
deming_std,0.756503704807218,15
deming_wtd,0.756503704807218,16
rf,0.8290471810912395,17
